node_type_id ei dynamics_params model_template model_processing morphology location population pop_name model_type
478396248 i 478396248_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc VisL5 v1 i5Sst biophysical
482690728 i 482690728_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc VisL5 v1 i5Sst biophysical
466632464 e 466632464_fit.json ctdb:Biophys1.hoc aibs_axon Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc VisL6 v1 e6Ntsr1 biophysical
471410185 e 471410185_fit.json ctdb:Biophys1.hoc aibs_axon Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc VisL6 v1 e6Ntsr1 biophysical
471786879 e 471786879_fit.json ctdb:Biophys1.hoc aibs_axon Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc VisL6 v1 e6Ntsr1 biophysical
471789504 e 471789504_fit.json ctdb:Biophys1.hoc aibs_axon Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc VisL6 v1 e6Ntsr1 biophysical
471819401 e 471819401_fit.json ctdb:Biophys1.hoc aibs_axon Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc VisL6 v1 e6Ntsr1 biophysical
581001895 i 481001895_fit.json ctdb:Biophys1.hoc aibs_axon Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc VisL6 v1 i6Htr3a biophysical
581136138 i 481136138_fit.json ctdb:Biophys1.hoc aibs_axon Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc VisL6 v1 i6Htr3a biophysical
321708130 i 321708130_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc VisL6 v1 i6Pvalb biophysical
471087830 i 471087830_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc VisL6 v1 i6Pvalb biophysical
478058328 i 478058328_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc VisL6 v1 i6Pvalb biophysical
478828646 i 478828646_fit.json ctdb:Biophys1.hoc aibs_axon Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc VisL6 v1 i6Pvalb biophysical
313862306 i 313862306_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc VisL6 v1 i6Sst biophysical
473564515 i 473564515_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc VisL6 v1 i6Sst biophysical
476104386 i 476104386_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc VisL6 v1 i6Sst biophysical
476754635 i 476754635_fit.json ctdb:Biophys1.hoc aibs_axon Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc VisL6 v1 i6Sst biophysical
