Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 97.2341431116339,625.9201078402709,-11.712373040654292 vs. <arbor.mpoint: x 97.2341, y 625.92, z -11.7124, radius 9.7891>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 195.191598740446,314.37712679110825,151.69643709923244 vs. <arbor.mpoint: x 195.192, y 314.377, z 151.696, radius 6.1742>
Placing synapse Exp2Syn at (location 0 0.5): 13.983582146843105,381.86120393505934,-47.394514103045395 vs. <arbor.mpoint: x 13.9836, y 381.861, z -47.3945, radius 5.9498>
