edge_type_id target_query source_query model_template delay dynamics_params
359 node_type_id=='486110216' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
360 node_type_id=='487664663' pop_name=='LIFe23Cux2' exp2syn 1.8 AMPA_ExcToExc.json
361 node_type_id=='471129934' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
362 node_type_id=='471143169' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
363 node_type_id=='471767045' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
364 node_type_id=='485574832' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
365 node_type_id=='485835055' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
366 node_type_id=='485880739' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
367 node_type_id=='486052980' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
368 node_type_id=='486110216' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
369 node_type_id=='487664663' pop_name=='LIFi6Pvalb' exp2syn 0.9 GABA_InhToExc.json
370 node_type_id=='471129934' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
371 node_type_id=='471143169' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
372 node_type_id=='471758398' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
373 node_type_id=='471767045' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
374 node_type_id=='485574832' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
375 node_type_id=='485835055' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
376 node_type_id=='485880739' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
377 node_type_id=='486052980' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
378 node_type_id=='486110216' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
379 node_type_id=='487664663' pop_name=='LIFe4Scnn1a' exp2syn 1.5 AMPA_ExcToExc.json
380 node_type_id=='471129934' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
381 node_type_id=='471767045' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
382 node_type_id=='485574832' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
383 node_type_id=='485835055' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
384 node_type_id=='485880739' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
385 node_type_id=='486052980' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
386 node_type_id=='486110216' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
387 node_type_id=='487664663' pop_name=='LIFi23Pvalb' exp2syn 0.9 GABA_InhToExc.json
388 node_type_id=='471129934' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
389 node_type_id=='471143169' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
390 node_type_id=='471758398' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
391 node_type_id=='471767045' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
392 node_type_id=='485574832' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
393 node_type_id=='485835055' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
394 node_type_id=='485880739' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
395 node_type_id=='486052980' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
396 node_type_id=='486110216' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
397 node_type_id=='487664663' pop_name=='LIFe4other' exp2syn 1.5 AMPA_ExcToExc.json
398 node_type_id=='471129934' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
399 node_type_id=='471143169' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
400 node_type_id=='471758398' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
401 node_type_id=='471767045' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
402 node_type_id=='485574832' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
403 node_type_id=='485835055' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
404 node_type_id=='485880739' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
405 node_type_id=='486052980' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
406 node_type_id=='486110216' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
407 node_type_id=='487664663' pop_name=='LIFi5Pvalb' exp2syn 0.9 GABA_InhToExc.json
408 node_type_id=='471129934' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
409 node_type_id=='471143169' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
410 node_type_id=='471758398' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
411 node_type_id=='471767045' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
412 node_type_id=='485574832' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
413 node_type_id=='485835055' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
414 node_type_id=='485880739' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
415 node_type_id=='486052980' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
416 node_type_id=='486110216' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
417 node_type_id=='487664663' pop_name=='LIFi4Pvalb' exp2syn 0.9 GABA_InhToExc.json
