node_type_id population model_template ei location dynamics_params pop_name morphology model_type model_processing
471077857 v1 ctdb:Biophys1.hoc i VisL5 471077857_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-180633.05.01.01_491119234_m.swc biophysical aibs_axon
471085676 v1 ctdb:Biophys1.hoc i VisL5 471085676_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-180633.04.01.01_491771159_m.swc biophysical aibs_axon
478793814 v1 ctdb:Biophys1.hoc i VisL5 478793814_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-195045.05.02.01_491119688_m.swc biophysical aibs_axon
486783119 v1 ctdb:Biophys1.hoc i VisL5 486783119_fit.json i5Pvalb Pvalb-IRES-Cre_Ai14-212809.03.01.01_500961658_m.swc biophysical aibs_axon
323475862 v1 ctdb:Biophys1.hoc i VisL5 323475862_fit.json i5Sst Sst-IRES-Cre_Ai14-172534.06.01.01_491770330_m.swc biophysical aibs_axon
464198958 v1 ctdb:Biophys1.hoc i VisL5 464198958_fit.json i5Sst Sst-IRES-Cre_Ai14-165865.03.01.01_491119181_m.swc biophysical aibs_axon
475517090 v1 ctdb:Biophys1.hoc i VisL5 475517090_fit.json i5Sst Sst-IRES-Cre_Ai14-184927.03.02.01_492100832_m.swc biophysical aibs_axon
478396248 v1 ctdb:Biophys1.hoc i VisL5 478396248_fit.json i5Sst Sst-IRES-Cre_Ai14-192340.03.01.01_491119721_m.swc biophysical aibs_axon
482690728 v1 ctdb:Biophys1.hoc i VisL5 482690728_fit.json i5Sst Sst-IRES-Cre_Ai14-199390.05.01.01_492101025_m.swc biophysical aibs_axon
466632464 v1 ctdb:Biophys1.hoc e VisL6 466632464_fit.json e6Ntsr1 Ntsr1-Cre_Ai14-171080.04.02.01_492413307_m.swc biophysical aibs_axon
471410185 v1 ctdb:Biophys1.hoc e VisL6 471410185_fit.json e6Ntsr1 Ntsr1-Cre_Ai14-180761.02.01.01_491459160_m.swc biophysical aibs_axon
471786879 v1 ctdb:Biophys1.hoc e VisL6 471786879_fit.json e6Ntsr1 Ntsr1-Cre_Ai14-181184.05.02.01_491392868_m.swc biophysical aibs_axon
471789504 v1 ctdb:Biophys1.hoc e VisL6 471789504_fit.json e6Ntsr1 Ntsr1-Cre_Ai14-181184.05.01.01_492413318_m.swc biophysical aibs_axon
471819401 v1 ctdb:Biophys1.hoc e VisL6 471819401_fit.json e6Ntsr1 Ntsr1-Cre_Ai14-181184.02.02.01_491771181_m.swc biophysical aibs_axon
581001895 v1 ctdb:Biophys1.hoc i VisL6 481001895_fit.json i6Htr3a Htr3a-Cre_NO152_Ai14-198254.03.02.01_491119526_m.swc biophysical aibs_axon
581136138 v1 ctdb:Biophys1.hoc i VisL6 481136138_fit.json i6Htr3a Htr3a-Cre_NO152_Ai14-200434.06.02.01_513556274_m.swc biophysical aibs_axon
321708130 v1 ctdb:Biophys1.hoc i VisL6 321708130_fit.json i6Pvalb Pvalb-IRES-Cre_Ai14-172101.05.02.01_491119710_m.swc biophysical aibs_axon
471087830 v1 ctdb:Biophys1.hoc i VisL6 471087830_fit.json i6Pvalb Pvalb-IRES-Cre_Ai14-180634.04.01.01_495335480_m.swc biophysical aibs_axon
478058328 v1 ctdb:Biophys1.hoc i VisL6 478058328_fit.json i6Pvalb Pvalb-IRES-Cre_Ai14-191322.04.02.01_491119269_m.swc biophysical aibs_axon
478828646 v1 ctdb:Biophys1.hoc i VisL6 478828646_fit.json i6Pvalb Pvalb-IRES-Cre_Ai14-195049.06.01.01_491119604_m.swc biophysical aibs_axon
313862306 v1 ctdb:Biophys1.hoc i VisL6 313862306_fit.json i6Sst Sst-IRES-Cre_Ai14-167636.04.01.01_491119515_m.swc biophysical aibs_axon
473564515 v1 ctdb:Biophys1.hoc i VisL6 473564515_fit.json i6Sst Sst-IRES-Cre_Ai14-182533.05.01.01_491770886_m.swc biophysical aibs_axon
476104386 v1 ctdb:Biophys1.hoc i VisL6 476104386_fit.json i6Sst Sst-IRES-Cre_Ai14-187427.04.01.01_491119894_m.swc biophysical aibs_axon
476754635 v1 ctdb:Biophys1.hoc i VisL6 476754635_fit.json i6Sst Sst-IRES-Cre_Ai14-188741.06.02.01_491771387_m.swc biophysical aibs_axon
