node_type_id,coords_segx0,coords_segx0.5,coords_segx1
487664663,[ 245.11869655  617.4964304  -299.90585113],[ 245.25713038  616.91361167 -294.97436788],[ 245.39556422  616.33079294 -290.04288463]
321708130,[-157.14638365  787.53738247  -60.40021592],[-162.31206678  786.22227351  -59.94965745],[-167.47774992  784.90716455  -59.49909899]
471087830,[-260.01465018  764.16504489  242.7840405 ],[-262.35747487  765.22508248  246.08588971],[-264.70029956  766.28512007  249.38773893]
478058328,[-187.27374954  658.57806639  344.43764236],[-187.68524443  656.0769446   342.13740023],[-188.09673931  653.57582281  339.8371581 ]
478828646,[ 80.00487654 782.63966965 164.48653101],[ 77.266526   780.51924239 167.97550425],[ 74.52817547 778.39881513 171.4644775 ]
395830185,[ 72.3092038  367.26472764 261.37426877],[ 69.75136513 369.02114923 259.49311292],[ 67.19352645 370.77757082 257.61195707]
341442651,[ 73.35362756 258.05320255 282.55604334],[ 73.36845105 261.51418593 285.94948193],[ 73.38327455 264.97516931 289.34292052]
484635029,[-79.86133226 307.98452167 362.35609706],[-82.5875657  304.75136366 359.94812911],[-85.31379914 301.51820564 357.54016116]
483061182,[ -98.92693082  357.47168541 -361.3458607 ],[ -98.9068315   356.46071404 -357.51036949],[ -98.88673219  355.44974267 -353.67487829]
485909730,[-113.17703453  366.75807887  352.55409018],[-113.17703453  366.75807887  352.55409018],[-113.17703453  366.75807887  352.55409018]
486146717,[  68.64841269  320.31829035 -185.59524228],[  69.016737    319.54881268 -188.98232133],[  69.38506132  318.779335   -192.36940039]
487601493,[376.75731895 370.83337819 -91.13218631],[379.21717325 368.85988623 -93.82504558],[381.67702754 366.88639426 -96.51790485]
486783119,[-258.50005264  550.86155762 -125.44812087],[-255.6642723   551.98489778 -129.20862934],[-252.82849197  553.10823793 -132.96913781]
487667205,[ 64.43310671 347.71251124 -86.43893841],[ 60.63225863 346.21028962 -86.9282304 ],[ 56.83141055 344.708068   -87.41752238]
479179020,[-267.4636836   322.33766258   -4.90835308],[-266.88528289  320.85193458   -1.03015106],[-266.30688219  319.36620659    2.84805097]
480124551,[-343.04966956  427.37715936 -196.80997069],[-346.05982875  429.11706849 -196.9402257 ],[-349.06998795  430.85697762 -197.07048071]
318808427,[ -31.02077114  323.11392851 -232.61826072],[ -27.35598277  321.04667241 -231.76269216],[ -23.6911944   318.9794163  -230.90712359]
469793303,[-276.8047376   605.35272043  -35.90755746],[-279.00395006  606.10806523  -38.58520149],[-281.20316252  606.86341002  -41.26284552]
476048909,[354.18262602 493.33773333  25.09473306],[354.78316109 490.56890813  22.17267538],[355.38369616 487.80008294  19.25061769]
480351780,[ 147.4161274   504.01731911 -229.61860526],[ 144.39880332  500.70048453 -227.63062146],[ 141.38147925  497.38364995 -225.64263767]
471410185,[360.99816624 775.15158996 146.64001893],[361.85548859 771.73180903 145.03298177],[362.71281095 768.31202809 143.42594462]
471786879,[-328.6884685   683.18746149   80.6626853 ],[-326.54357532  686.21342166   77.80288164],[-324.39868213  689.23938183   74.94307798]
471819401,[-327.30682943  809.60583737   96.63223737],[-330.29787622  812.44725559   95.16206912],[-333.28892301  815.28867382   93.69190087]
475585413,[-201.23238968   72.89215786  -53.87552082],[-203.24470288   71.22587954  -56.84552749],[-205.25701609   69.55960121  -59.81553416]
478110866,[ 13.72491611 445.1414811  319.82153924],[ 13.72491611 445.1414811  319.82153924],[ 13.72491611 445.1414811  319.82153924]
481136138,[ 113.1080078   445.95950163 -140.7057498 ],[ 111.94569273  446.78456937 -145.36431011],[ 110.78337767  447.60963711 -150.02287043]
469753383,[-354.49475272  271.47040844  158.30323827],[-352.65855536  271.70636954  161.35914738],[-350.82235799  271.94233064  164.41505649]
474267418,[ 13.98357824 225.75710915 -47.39451112],[ 13.98357824 225.75710915 -47.39451112],[ 13.98357824 225.75710915 -47.39451112]
479220013,[ -11.477065    223.57410401 -317.63740491],[ -14.99852306  222.1868604  -317.18266655],[ -18.51998113  220.7996168  -316.72792819]
473540161,[-217.12102746  230.31478412  213.10454015],[-219.47895559  232.28779387  216.05152025],[-221.83688373  234.26080363  218.99850035]
475068599,[ 352.78913342  225.59907429 -159.86166865],[ 355.98973071  226.48229812 -157.13734814],[ 359.190328    227.36552195 -154.41302762]
476686112,[-117.94871243  160.34474872  133.40197815],[-118.02677754  158.12066557  136.98802331],[-118.10484266  155.89658243  140.57406847]
313862306,[-189.41470333  779.56516439  173.42905694],[-186.83429613  781.79308691  173.23702049],[-184.25388893  784.02100944  173.04498403]
473564515,[-286.59819347  813.37175754   35.07376285],[-287.82651602  811.25717465   31.62056896],[-289.05483856  809.14259176   28.16737508]
476104386,[243.77298268 664.64901468 319.2524175 ],[238.97896753 663.55354602 319.12635351],[234.18495239 662.45807736 319.00028952]
476754635,[ 73.71853698 787.87512548  70.36338886],[ 71.07268792 790.80708836  69.70138286],[ 68.42683885 793.73905124  69.03937685]
478107198,[141.26018046  82.18253299   7.72031569],[139.4089038   83.53745505   4.13460655],[137.55762714  84.8923771    0.54889741]
